rownum	ibaq_test_1	ibaq_test_2	ibaq_test_3	ibaq_control_1	ibaq_control_2	ibaq_control_3	gene_names	std_error	diff_mean	t	p	mod_std_error	t_mod	p_mod	logFC	significant_ord	significant_mod	Description	MitoCarta3.0_SubMitoLocalization	MitoCarta3.0_MitoPathways
p_6	18.778349894088915	18.35175163090147	19.53837904436084	13.800229208935486	14.283136596433556	13.710483598869924	VWA8	191316.9120964037	499327.5444444445	2.6099498417203995	1.5270745615053598	323466.0790332791	1.5436782303008416	1.00536875627233	4.958210388370755	TRUE	FALSE	von Willebrand factor A domain containing 8	Matrix	0
p_7	18.762486937250927	17.076843426547864	18.53839988571474	15.482666175483285	14.966167449645477	14.99566411437439	GTPBP10	140166.47146010486	284403	2.0290373085474207	1.250512148934918	297890.85871512967	0.9547221463145736	0.7057735990709038	2.9777441700034597	FALSE	FALSE	GTP binding protein 10	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
p_10	20.20797113661559	18.067852719189066	20.31440290497365	18.8246387164298	18.550337212252387	19.776967890715355	METTL15	548198.2756671571	347762.22222222213	0.6343730683920806	0.5526050464558051	501906.76081865584	0.6928821234744679	0.5796232071005415	0.4794276471269221	FALSE	FALSE	methyltransferase like 15	Matrix	Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications
p_12	17.667386476012823	16.788777798120307	18.612226590520816	16.17499393121944	17.292222760510537	17.291623389479764	NUDT19	134025.4665343753	109061.05555555556	0.8137338251874932	0.6368941794733728	294820.35625226493	0.3699237628701485	0.43759248563632547	0.7698502611480684	FALSE	FALSE	nudix hydrolase 19	Matrix	Metabolism > Metals and cofactors > Coenzyme A metabolism
p_23	19.12343690760199	17.805477288121708	18.689823982779053	14.529288197307752	15.398409696094385	14.283322318500105	POLRMT	148939.15138389665	378761.5888888889	2.543062622349819	1.4963920681228065	302277.1986770256	1.2530273224266069	0.856289460668998	3.802572655533506	TRUE	FALSE	RNA polymerase mitochondrial	Matrix	Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtRNA metabolism > Transcription
p_24	24.07286518831047	21.36611282355022	24.223589587099383	23.252106342548682	23.463532314008248	23.815450109303562	NDUFA4	8274310.805505865	1206255.555555556	0.14578320586566476	0.3510820993198867	4364963.02573801	0.2763495471652036	0.40013294377741104	-0.2895070556334751	FALSE	FALSE	NDUFA4 mitochondrial complex associated	MIM	OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
p_29	19.389301529735775	17.780255667051303	19.782113588527054	17.262464992685835	18.0744359299616	17.245914745788728	NME4	305272.4791022313	408236.6666666667	1.3372861774741058	0.8994423098912152	380443.8625361929	1.0730536272689373	0.7648872900303038	1.4562850389593258	FALSE	FALSE	NME/NM23 nucleoside diphosphate kinase 4	MIM	Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
p_33	19.790357512719183	18.03540053311681	19.2833574401962	17.830863839258306	18.388252780706022	18.255554210657753	MGST3	281780.1451437312	308099.44444444444	1.093403668620045	0.7751462881085073	368697.69555694284	0.8356424467992385	0.6474650164738204	0.8781482184700415	FALSE	FALSE	microsomal glutathione S-transferase 3	MOM	Metabolism > Lipid metabolism > Eicosanoid metabolism
p_36	22.952373163609536	20.686513920617845	23.148054631732826	21.812515643011103	21.973898070721578	22.735367540940214	UQCRQ	3870908.1182226767	1437977.777777778	0.3714833144729935	0.43823229899436056	2163261.6820964157	0.6647266901081679	0.566559323151897	0.08838682042910406	FALSE	FALSE	ubiquinol-cytochrome c reductase complex III subunit VII	MIM	OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits
p_53	23.515408657623457	22.247115768385747	23.26399022668395	20.27932983525209	20.696594888268063	21.297298988199152	TIMM44	3191193.4796861922	7164183.333333333	2.2449855763799778	1.3558892159249658	1823404.3628281734	3.9290151320146	2.067597409226483	2.2510969803246184	TRUE	TRUE	translocase of inner mitochondrial membrane 44	MIM	Protein import, sorting and homeostasis > Protein import and sorting > Import motor
